Data Size,Average,Standard Deviation
1,0,NaN
2,0.5,0.707106781
3,0.666666667,0.577350269
4,1,0.816496581
5,1.1998,0.836639863
6,1.430366667,0.951954796
7,1.53347619,0.91687263
8,1.642446429,0.93284137
9,1.777319444,0.971658216
10,1.918933333,1.025293536
11,2.038490909,1.057824993
12,2.147113636,1.086002759
13,2.24785373,1.110670552
14,2.354642857,1.147562748
15,2.446295238,1.172069014
16,2.520283333,1.181083525
17,2.576235294,1.175528778
18,2.634529412,1.177403404
19,2.689366873,1.179996749
20,2.745544737,1.184701295
21,2.806009524,1.19581196
22,2.866257576,1.207567837
23,2.929828063,1.224714824
24,2.98682971,1.234679989
25,3.047791667,1.252459896
26,3.101123077,1.261330158
27,3.155055556,1.27355623
28,3.20411803,1.282107713
29,3.259307882,1.298355901
30,3.306050575,1.306798517
31,3.354401743,1.317219069
32,3.402631048,1.329917874
33,3.44498158,1.335862714
34,3.492348262,1.349403542
35,3.53180657,1.355893159
36,3.571538842,1.362188431
37,3.604725311,1.362942183
38,3.646278805,1.375073359
39,3.675958839,1.374312869
40,3.712831579,1.381879716
41,3.742255441,1.382213793
42,3.762940738,1.375823112
43,3.789086527,1.375301997
44,3.811792434,1.371342594
45,3.842382182,1.375764801
46,3.864452968,1.373175489
47,3.893322901,1.376607588
48,3.917318851,1.377057604
49,3.945571347,1.380203996
50,3.971144184,1.382760553
51,3.998126643,1.388062317
52,4.023321731,1.389249996
53,4.048883385,1.391196627
54,4.075004112,1.394653156
55,4.104761041,1.403076188
56,4.128498409,1.404591997
57,4.156807769,1.411239711
58,4.186201322,1.419592587
59,4.210949574,1.422366198
60,4.233556969,1.423733064
61,4.261690118,1.43168012
62,4.285160909,1.435416784
63,4.305640792,1.435111939
64,4.331276682,1.441843466
65,4.358860575,1.450400067
66,4.377359717,1.449848666
67,4.398125369,1.450692425
68,4.420898742,1.455071697
69,4.44093363,1.45592862
70,4.468907163,1.46728988
71,4.487779,1.466791331
72,4.515964023,1.478380196
73,4.531414814,1.475109902
74,4.547274345,1.473949824
75,4.576764554,1.486219284
76,4.59562178,1.488446194
77,4.610785611,1.486311733
78,4.628707854,1.48761542
79,4.649598688,1.493649024
80,4.672981253,1.499616997
81,4.691280073,1.503007961
82,4.708047196,1.503626236
83,4.729063491,1.508647166
84,4.739737698,1.504867718
85,4.759397112,1.510405873
86,4.779862529,1.514911822
87,4.794015948,1.514795404
88,4.811373326,1.517001916
89,4.825481234,1.516782081
90,4.845897668,1.522797023
91,4.861463961,1.524146553
